Year,#,Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF
2015,13,Jalen Riley,ETSU,29,27.5,20.2,5.7,14.7,.387,2.8,7.4,.374,6.1,7.4,.827,0.4,1.9,2.3,2.7,1.7,0.1,2.8,3.3
2015,14,Cameron Payne,MRRY,35,32.2,20.2,7.0,15.3,.456,2.4,6.4,.377,3.8,4.8,.787,0.6,3.1,3.7,6.0,1.9,0.5,2.5,2.1
2015,15,A.J. English III,IONA,34,37.4,20.1,6.2,14.4,.432,3.1,8.1,.387,4.6,5.8,.787,0.8,4.4,5.1,5.1,1.4,0.5,3.8,2.7
2015,16,D.J. Balentine,UE,36,36.6,20.1,6.8,15.6,.435,2.1,5.3,.392,4.4,5.9,.750,0.5,2.7,3.2,3.2,0.8,0.2,2.2,1.0
2015,17,Jalan West,NSU,32,34.5,20.0,6.0,13.2,.456,2.7,6.4,.422,5.3,6.1,.862,0.6,3.8,4.4,7.7,2.1,0.3,2.8,2.0
2015,18,Marcus Thornton,W&M,33,36.7,20.0,6.5,14.3,.456,3.1,7.7,.402,3.8,4.6,.830,0.3,2.5,2.8,2.9,0.6,0.1,2.3,1.1
2015,19,David Laury,IONA,34,35.3,19.8,7.2,15.1,.475,0.8,2.1,.380,4.7,6.9,.682,2.5,7.2,9.7,2.8,0.8,1.3,3.0,2.7
2015,20,LaDontae Henton,PROV,34,37.0,19.7,6.8,15.2,.446,1.9,5.6,.339,4.3,5.6,.759,1.8,4.8,6.5,0.9,1.4,0.5,2.0,2.2
2015,21,R.J. Hunter,GAST,35,37.0,19.7,5.8,14.7,.395,2.3,7.5,.305,5.8,6.6,.878,0.8,3.9,4.7,3.6,2.1,1.0,2.2,2.4
2015,22,Chasson Randle,STAN,37,36.4,19.6,5.9,14.6,.403,2.4,6.7,.363,5.4,6.2,.877,0.3,3.0,3.3,3.0,1.4,0.1,2.0,2.2
2015,23,Olivier Hanlan,BOS,32,37.6,19.5,7.0,15.5,.454,2.0,5.8,.353,3.4,4.5,.759,0.8,3.5,4.2,4.2,1.3,0.0,2.7,2.1
2015,24,Derrick Marks,BOISE,32,31.2,19.4,7.2,14.6,.494,2.1,4.9,.436,2.8,3.7,.771,0.5,3.2,3.7,3.0,1.8,0.4,2.1,2.3
2015,25,James Sinclair,WCU,31,38.1,19.4,6.9,17.2,.402,1.6,5.2,.315,3.9,5.1,.767,1.9,4.2,6.0,2.9,2.2,0.5,2.5,2.1
2015,26,D'Angelo Russell,OSU,35,33.9,19.3,6.6,14.7,.449,2.7,6.6,.411,3.4,4.5,.756,1.0,4.7,5.7,5.0,1.6,0.3,2.9,2.1
2015,27,John Brown,HP,32,31.1,19.3,7.6,13.8,.550,0.0,0.2,.000,4.2,5.5,.756,3.2,2.8,6.0,1.2,1.2,1.0,1.7,2.1
2015,28,Andrew Rowsey,UNCA,31,32.6,19.2,5.7,14.5,.394,3.3,8.6,.382,4.5,4.9,.921,0.6,2.2,2.8,2.9,1.4,0.1,2.3,2.2
2015,29,Mikh McKinney,CSUS,32,37.0,19.2,6.8,13.5,.507,2.0,4.7,.430,3.4,4.3,.803,0.5,2.3,2.8,4.9,2.4,0.1,2.1,1.8
2015,30,Jeffrey Short,NORF,34,34.0,19.1,6.2,12.5,.498,2.0,5.1,.394,4.6,5.6,.820,0.7,3.5,4.2,1.9,0.9,0.4,2.8,1.9
2015,31,Brad Waldow,STMRY,31,34.5,19.0,7.6,13.6,.558,0.0,0.0,.000,3.9,5.9,.659,2.9,6.2,9.1,2.2,0.5,0.7,2.1,2.4
2015,32,Jerome Hill,GWU,34,33.1,18.9,6.2,13.1,.473,0.2,1.1,.158,6.4,10.1,.628,3.5,6.7,10.1,2.2,0.5,0.7,3.0,2.2
