BPI RK,TEAM,CONF,W-L,BPI,OFF,DEF,Year,,,,,
251,Tennessee Tech Golden Eagles,OVC,21-Nov,-4,-1.2,-2.8,2022,,,,,
252,South Florida Bulls,American,23-Aug,-4.1,-7.5,3.4,2022,,,,,
253,Western Illinois Leathernecks,Summit,16-16,-4.2,-1.2,-3,2022,,,,,
254,Georgia Southern Eagles,Sun Belt,13-16,-4.2,-4.2,-0.1,2022,,,,,
255,North Florida Ospreys,ASUN,20-Nov,-4.2,-3.5,-0.7,2022,,,,,
256,Northern Colorado Bears,Big Sky,22-16,-4.3,2.4,-6.6,2022,,,,,
257,Harvard Crimson,Ivy,13-13,-4.3,-3.7,-0.6,2022,,,,,
258,New Mexico Lobos,Mountain West,13-19,-4.3,-0.7,-3.6,2022,,,,,
259,Bowling Green Falcons,MAC,13-18,-4.4,1,-5.3,2022,,,,,
260,Indiana State Sycamores,MVC,20-Nov,-4.4,-2.8,-1.6,2022,,,,,
261,Tennessee State Tigers,OVC,14-18,-4.6,-2.6,-1.9,2022,,,,,
262,Northeastern Huskies,CAA,22-Sep,-4.6,-3.1,-1.5,2022,,,,,
263,High Point Panthers,Big South,14-18,-4.6,-2.7,-1.9,2022,,,,,
264,Loyola Maryland Greyhounds,Patriot,14-16,-4.7,-4.6,-0.1,2022,,,,,
265,New Orleans Privateers,Southland,18-14,-4.7,-4,-0.8,2022,,,,,
266,North Alabama Lions,ASUN,21-Sep,-4.8,-5.8,1.1,2022,,,,,
267,South Carolina Upstate Spartans,Big South,15-17,-4.8,-0.8,-4,2022,,,,,
268,Hartford Hawks,Am. East,20-Dec,-4.9,-0.3,-4.6,2022,,,,,
269,Florida International Panthers,CUSA,15-17,-5,-2.8,-2.2,2022,,,,,
270,Presbyterian Blue Hose,Big South,20-Dec,-5,-4.8,-0.2,2022,,,,,
271,Elon Phoenix,CAA,22-Oct,-5,-2.2,-2.8,2022,,,,,
272,UIC Flames,Horizon,14-16,-5.2,-1.9,-3.3,2022,,,,,
273,UAlbany Great Danes,Am. East,13-18,-5.2,-6.6,1.3,2022,,,,,
274,Ball State Cardinals,MAC,14-17,-5.6,-1.1,-4.5,2022,,,,,
275,Binghamton Bearcats,Am. East,17-Dec,-5.6,-4.5,-1.1,2022,,,,,
276,SE Louisiana Lions,Southland,19-15,-5.7,0.1,-5.8,2022,,,,,
277,Duquesne Dukes,A-10,24-Jun,-5.8,-3,-2.8,2022,,,,,
278,UC San Diego Tritons,Big West,13-16,-5.8,-1.3,-4.5,2022,,,,,
279,Alcorn State Braves,SWAC,17-17,-5.8,-3.9,-1.9,2022,,,,,
280,Morgan State Bears,MEAC,13-15,-6.1,-5.2,-0.9,2022,,,,,
281,McNeese Cowboys,Southland,22-Nov,-6.1,-2.3,-3.8,2022,,,,,
282,UL Monroe Warhawks,Sun Belt,13-18,-6.1,-1,-5.1,2022,,,,,
283,Army Black Knights,Patriot,15-16,-6.2,-4.7,-1.5,2022,,,,,
284,Southeast Missouri State Redhawks,OVC,14-18,-6.2,-0.6,-5.6,2022,,,,,
285,SIU Edwardsville Cougars,OVC,21-Nov,-6.2,-5.5,-0.8,2022,,,,,
286,Jackson State Tigers,SWAC,19-Nov,-6.3,-6.8,0.6,2022,,,,,
287,Merrimack Warriors,NEC,14-16,-6.3,-6.1,-0.2,2022,,,,,
288,Lipscomb Bisons,ASUN,14-19,-6.4,-0.6,-5.8,2022,,,,,
289,Prairie View A&M Panthers,SWAC,19-Aug,-6.5,-3.5,-2.9,2022,,,,,
290,Cal State Bakersfield Roadrunners,Big West,19-Aug,-6.6,-4.1,-2.5,2022,,,,,
291,Pepperdine Waves,WCC,25-Jul,-6.7,-3.8,-2.9,2022,,,,,
292,Austin Peay Governors,OVC,17-Dec,-6.9,-4.4,-2.5,2022,,,,,
293,North Carolina A&T Aggies,Big South,20-Dec,-6.9,-4.2,-2.8,2022,,,,,
294,Utah Tech Trailblazers,WAC,13-18,-7,-4.9,-2.1,2022,,,,,
295,Radford Highlanders,Big South,18-Nov,-7.2,-5.5,-1.8,2022,,,,,
296,Western Carolina Catamounts,Southern,21-Nov,-7.3,-2.4,-4.9,2022,,,,,
297,Sacred Heart Pioneers,NEC,20-Oct,-7.4,-0.7,-6.7,2022,,,,,
298,St. Francis Brooklyn Terriers,NEC,20-Oct,-7.4,-4.3,-3.1,2022,,,,,
299,St. Thomas-Minnesota Tommies,Summit,20-Oct,-7.4,1.6,-9,2022,,,,,
300,Maryland-Eastern Shore Hawks,MEAC,16-Nov,-7.4,-7.9,0.4,2022,,,,,
301,Northern Illinois Huskies,MAC,21-Sep,-7.5,-6.7,-0.8,2022,,,,,
302,Robert Morris Colonials,Horizon,24-Aug,-7.6,-2,-5.6,2022,,,,,
303,UT Martin Skyhawks,OVC,22-Aug,-7.7,-5,-2.7,2022,,,,,
304,Pacific Tigers,WCC,22-Aug,-7.8,-5.6,-2.3,2022,,,,,
305,Coppin State Eagles,MEAC,23-Sep,-7.8,-6.6,-1.2,2022,,,,,
306,San José State Spartans,Mountain West,23-Aug,-7.9,-3.1,-4.8,2022,,,,,
307,South Carolina State Bulldogs,MEAC,15-16,-8.1,-6.6,-1.5,2022,,,,,
308,Stetson Hatters,ASUN,19-Nov,-8.2,-4,-4.2,2022,,,,,
309,Lehigh Mountain Hawks,Patriot,13-19,-8.2,-3.8,-4.5,2022,,,,,
310,St. Francis (PA) Red Flash,NEC,21-Sep,-8.4,-4.6,-3.8,2022,,,,,
311,Eastern Michigan Eagles,MAC,21-Oct,-8.7,-6,-2.7,2022,,,,,
312,Central Michigan Chippewas,MAC,23-Jul,-8.8,-4.6,-4.1,2022,,,,,
313,Grambling Tigers,SWAC,20-Dec,-9,-6.4,-2.6,2022,,,,,
314,UT Rio Grande Valley Vaqueros,WAC,23-Aug,-9.1,-3.4,-5.7,2022,,,,,
315,Sacramento State Hornets,Big Sky,18-Nov,-9.1,-5.1,-4,2022,,,,,
316,Florida A&M Rattlers,SWAC,13-17,-9.2,-5.9,-3.3,2022,,,,,
317,Hampton Pirates,Big South,19-Sep,-9.3,-7.9,-1.4,2022,,,,,
318,Central Arkansas Bears,ASUN,20-Nov,-9.5,-3.1,-6.4,2022,,,,,
319,Alabama State Hornets,SWAC,21-Sep,-9.6,-5.2,-4.3,2022,,,,,
320,Milwaukee Panthers,Horizon,22-Oct,-9.6,-6.5,-3.2,2022,,,,,
321,Cal Poly Mustangs,Big West,21-Jul,-9.7,-7.5,-2.1,2022,,,,,
322,UTSA Roadrunners,CUSA,22-Oct,-9.8,-6.1,-3.8,2022,,,,,
