BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
282,New Orleans Privateers,Southland,19-14,-5.8,-0.6,-6.4,2019,,,,,
283,Monmouth Hawks,MAAC,14-21,-7.1,0.7,-6.4,2019,,,,,
284,Tulane Green Wave,American,27-Apr,-4.9,-1.5,-6.4,2019,,,,,
285,Tennessee State Tigers,OVC,21-Sep,-3.4,-3,-6.4,2019,,,,,
286,Youngstown State Penguins,Horizon,20-Dec,-1,-5.4,-6.4,2019,,,,,
287,Air Force Falcons,Mountain West,14-18,-2.9,-3.6,-6.5,2019,,,,,
288,Navy Midshipmen,Patriot,19-Dec,-4.9,-1.7,-6.6,2019,,,,,
289,Lafayette Leopards,Patriot,20-Oct,-1.5,-5.2,-6.6,2019,,,,,
290,Western Carolina Catamounts,Southern,25-Jul,-3,-3.6,-6.7,2019,,,,,
291,James Madison Dukes,CAA,14-19,-2.6,-4.1,-6.7,2019,,,,,
292,Longwood Lancers,Big South,16-18,-4.3,-2.4,-6.7,2019,,,,,
293,Western Illinois Leathernecks,Summit,21-Oct,-4.6,-2.2,-6.7,2019,,,,,
294,North Carolina A&T Aggies,MEAC,19-13,-4.1,-2.6,-6.7,2019,,,,,
295,Wagner Seahawks,NEC,13-17,-5.9,-1,-6.8,2019,,,,,
296,Milwaukee Panthers,Horizon,22-Sep,-3.3,-3.6,-6.9,2019,,,,,
297,UT Martin Skyhawks,OVC,19-Dec,0,-7,-6.9,2019,,,,,
298,Niagara Purple Eagles,MAAC,13-19,-1.2,-5.8,-7,2019,,,,,
299,Cleveland State Vikings,Horizon,21-Oct,-2.5,-4.5,-7,2019,,,,,
300,Howard Bison,MEAC,17-17,-1.5,-5.7,-7.2,2019,,,,,
301,Oral Roberts Golden Eagles,Summit,21-Nov,-0.9,-6.4,-7.3,2019,,,,,
302,VMI Keydets,Southern,21-Nov,-1.9,-5.4,-7.3,2019,,,,,
303,Texas A&M-Corpus Christi Islanders,Southland,14-18,-6.4,-1,-7.4,2019,,,,,
304,Saint Peter's Peacocks,MAAC,22-Oct,-5.7,-1.9,-7.6,2019,,,,,
305,Eastern Illinois Panthers,OVC,14-18,-2.8,-4.8,-7.6,2019,,,,,
306,Central Arkansas Bears,Southland,14-19,-3.9,-4.1,-8,2019,,,,,
307,UC Riverside Highlanders,Big West,23-Oct,-3.2,-5,-8.1,2019,,,,,
308,UTEP Miners,CUSA,21-Aug,-8.5,0.2,-8.2,2019,,,,,
309,Nicholls Colonels,Southland,14-17,-4.1,-4.1,-8.3,2019,,,,,
310,Northern Arizona Lumberjacks,Big Sky,21-Oct,-2.6,-5.8,-8.4,2019,,,,,
311,Elon Phoenix,CAA,21-Nov,-3.4,-5.1,-8.5,2019,,,,,
312,Stephen F. Austin Lumberjacks,Southland,14-16,-6.1,-2.5,-8.6,2019,,,,,
313,Southeast Missouri State Redhawks,OVC,21-Oct,-4.1,-4.6,-8.7,2019,,,,,
314,Charlotte 49ers,CUSA,21-Aug,-6.1,-2.7,-8.8,2019,,,,,
315,Arkansas-Pine Bluff Golden Lions,SWAC,13-19,-5.9,-3.1,-9,2019,,,,,
316,Manhattan Jaspers,MAAC,21-Nov,-9.5,0.5,-9,2019,,,,,
317,Idaho State Bengals,Big Sky,19-Nov,-0.6,-8.5,-9.1,2019,,,,,
