Rank,Player,High School,Position,Height / Weight,Rating,Year,Star,Height,Weight
43,Angel Delgado,,PF,6-9 / 215,96,2014,4.0,6-9,215
44,Detrick Mostella,,SG,6-3 / 170,96,2014,4.0,6-3,170
45,Montaque Gill-Caesar,,SG,6-5 / 200,96,2014,4.0,6-5,200
46,Justin Coleman,,PG,5-10 / 146,95,2014,4.0,5-10,146
47,Jordan McLaughlin,,PG,5-11 / 162,95,2014,4.0,5-11,162
48,Reid Travis,,PF,6-7 / 228,95,2014,4.0,6-7,228
49,Craig Victor,,PF,6-8 / 205,95,2014,4.0,6-8,205
50,Joel Berry,,PG,6-0 / 188,95,2014,4.0,6-0,188
51,Keita Bates-Diop,,SF,6-6 / 180,95,2014,4.0,6-6,180
52,Abdul Malik Abu,,PF,6-8 / 232,95,2014,4.0,6-8,232
53,JaKeenan Gant,,PF,6-7 / 195,95,2014,4.0,6-7,195
54,Quentin Snider,,PG,6-1.5 / 166,95,2014,4.0,6-1.5,166
55,T.J. Haws,,SG,6-3 / 170,95,2014,4.0,6-3,170
56,Robert Johnson,,SG,6-3 / 180,95,2014,4.0,6-3,180
57,Trevon Bluiett,,SF,6-6 / 185,95,2014,4.0,6-6,185
58,Jaylen Johnson,,PF,6-9 / 206,95,2014,4.0,6-9,206
59,Elbert Robinson,,C,7-0 / 322,95,2014,4.0,7-0,322
60,Dillon Brooks,,SF,6-5 / 185,95,2014,4.0,6-5,185
61,Devin Mitchell,,SG,6-3 / 170,95,2014,4.0,6-3,170
62,Dion Wiley,,SG,6-3 / 210,95,2014,4.0,6-3,210
63,Parker Jackson-Cartwright,,PG,5-10 / 146,95,2014,4.0,5-10,146
64,Ahmed Hill,,SG,6-4.5 / 192,95,2014,4.0,6-4.5,192
65,Jordan Bell,,PF,6-7 / 225,95,2014,4.0,6-7,225
66,Donte Grantham,,SF,6-8 / 200,94,2014,4.0,6-8,200
67,Thomas Welsh,,C,7-0 / 245,94,2014,4.0,7-0,245
68,Caleb Martin,,SF,6-7 / 190,94,2014,4.0,6-7,190
69,Jae'Sean Tate,,SF,6-4 / 214,94,2014,4.0,6-4,214
70,Sandy Cohen,,SG,6-5 / 175,94,2014,4.0,6-5,175
71,Paul White,,SF,6-9 / 195,94,2014,4.0,6-9,195
72,Chinanu Onuaku,,C,6-10 / 220,94,2014,4.0,6-10,220
73,Khadeem Lattin,,PF,6-9 / 197,94,2014,4.0,6-9,197
74,Dominic MaGee,,PG,6-3 / 173,94,2014,4.0,6-3,173
75,B.J. Stith,,SG,6-5 / 175,94,2014,4.0,6-5,175
76,Josh Perkins,,PG,6-2 / 176,94,2014,4.0,6-2,176
77,Cody Martin,,SF,6-7 / 205,93,2014,3.0,6-7,205
78,Makinde London,,PF,6-10 / 195,93,2014,3.0,6-10,195
79,Michael Humphrey,,PF,6-9 / 200,93,2014,3.0,6-9,200
80,Zylan Cheatham,,PF,6-7.5 / 202,93,2014,3.0,6-7.5,202
81,Joe Burton,,SF,6-5 / 195,93,2014,3.0,6-5,195
82,Tadric Jackson,,PG,6-2 / 200,93,2014,3.0,6-2,200
83,Lourawls Nairn Jr.,,PG,5-10 / 165,93,2014,3.0,5-10,165
84,Paschal Chukwu,,C,7-2 / 210,93,2014,3.0,7-2,210
85,Anas Mahmoud,,C,7-0 / 205,93,2014,3.0,7-0,205
86,Alex Robinson,,PG,6-1 / 170,93,2014,3.0,6-1,170
87,Riley Norris,,SF,6-7 / 200,92,2014,3.0,6-7,200
88,Dusan Ristic,,C,7-0 / 240,92,2014,3.0,7-0,240
89,Trayvon Reed,,C,7-1 / 218,92,2014,3.0,7-1,218
90,Vic Law,,SF,6-7 / 195,92,2014,3.0,6-7,195
91,Phil Booth,,SG,6-2 / 181,92,2014,3.0,6-2,181
92,Tra Holder,,PG,6-0 / 170,92,2014,3.0,6-0,170
93,Devonte Graham,,PG,6-1 / 165,92,2014,3.0,6-1,165
94,Gary Clark,,PF,6-7 / 215,92,2014,3.0,6-7,215
95,Jared Nickens,,SF,6-6 / 180,92,2014,3.0,6-6,180
96,William Lee,,PF,6-8 / 192,92,2014,3.0,6-8,192
97,Isaiah Wilkins,,SF,6-7 / 190,92,2014,3.0,6-7,190
98,Namon Wright,,SG,6-5 / 180,92,2014,3.0,6-5,180
99,L.J. Peak,,SG,6-5 / 180,92,2014,3.0,6-5,180
100,Elijah Stewart,,SG,6-5 / 165,92,2014,3.0,6-5,165
101,Jalen Lindsey,,SF,6-6 / 195,92,2014,3.0,6-6,195
102,Chris Egi,,C,6-9 / 200,92,2014,3.0,6-9,200
103,Chris Sandifer,,SG,6-4 / 170,92,2014,3.0,6-4,170
104,Ahmaad Rorie,,PG,6-1 / 180,92,2014,3.0,6-1,180
105,Malik Martin,,PF,6-9 / 195,92,2014,3.0,6-9,195
106,Leon Gilmore,,SF,6-7 / 200,92,2014,3.0,6-7,200
107,Ben Bentil,,PF,6-8 / 230,92,2014,3.0,6-8,230
108,Obi Enechionyia,,PF,6-9 / 205,92,2014,3.0,6-9,205
109,Shelton Mitchell,,PG,6-2.5 / 186,92,2014,3.0,6-2.5,186
110,Larry Austin,,PG,6-1 / 165,92,2014,3.0,6-1,165
111,Dominique Collier,,PG,6-2 / 160,92,2014,3.0,6-2,160
112,Eric Paschall,,PF,6-6 / 226,91,2014,3.0,6-6,226
113,Malek Harris,,SF,6-7 / 190,91,2014,3.0,6-7,190
114,Mikal Bridges,,SF,6-6 / 178,91,2014,3.0,6-6,178
115,Josh Cunningham,,SF,6-6.5 / 189,91,2014,3.0,6-6.5,189
116,Martin Geben,,PF,6-9 / 230,91,2014,3.0,6-9,230
117,Anton Beard,,PG,6-1 / 170,90,2014,3.0,6-1,170
118,Wade Baldwin,,SG,6-3 / 180,90,2014,3.0,6-3,180
119,Kelan Martin,,PF,6-6 / 210,90,2014,3.0,6-6,210
120,Marial Shayok,,SG,6-7 / 205,90,2014,3.0,6-7,205
121,Dante Buford,,PF,6-7 / 205,90,2014,3.0,6-7,205
122,Trey Kell,,SG,6-3.5 / 210,89,2014,3.0,6-3.5,210
123,James Demery,,SG,6-4 / 170,89,2014,3.0,6-4,170
124,Bonzie Colson,,SF,6-5 / 218,89,2014,3.0,6-5,218
125,Adonys Henriquez,,SG,6-7 / 205,89,2014,3.0,6-7,205
126,Dave Bell,,PF,6-9 / 225,89,2014,3.0,6-9,225
127,Boubacar Moungoro,,SF,6-6 / 188,89,2014,3.0,6-6,188
128,Chandler Hutchison,,SF,6-5 / 175,89,2014,3.0,6-5,175
129,D.J. Foreman,,PF,6-8 / 215,89,2014,3.0,6-8,215
130,Michael Gilmore,,PF,6-9 / 210,89,2014,3.0,6-9,210
131,Mitch Solomon,,PF,6-9 / 225,89,2014,3.0,6-9,225
132,Riley LaChance,,SG,6-2 / 160,89,2014,3.0,6-2,160
133,Nick Babb,,SG,6-4 / 180,89,2014,3.0,6-4,180
134,Nate Mason,,PG,6-1 / 180,89,2014,3.0,6-1,180
135,J.P. Macura,,SG,6-4 / 180,89,2014,3.0,6-4,180
136,Payton Dastrup,,PF,6-9 / 218,89,2014,3.0,6-9,218
137,Troy Holston,,SG,6-4 / 187,89,2014,3.0,6-4,187
138,Lewis Sullivan,,SF,6-7 / 190,89,2014,3.0,6-7,190
139,Darrell Davis,,SG,6-4 / 170,89,2014,3.0,6-4,170
140,Rashard Figures,,SG,6-4 / 185,89,2014,3.0,6-4,185
141,Jordan Barnett,,SF,6-6 / 180,89,2014,3.0,6-6,180
142,Robert Cartwright,,PG,6-2 / 165,89,2014,3.0,6-2,165
143,Cameron Oliver,,PF,6-7 / 210,89,2014,3.0,6-7,210
144,Isaac Haas,,C,7-1 / 285,89,2014,3.0,7-1,285
145,Justin Bibbs,,SG,6-5 / 190,89,2014,3.0,6-5,190
146,Bryant McIntosh,,PG,6-2 / 180,89,2014,3.0,6-2,180
147,James Palmer,,SG,6-5 / 180,89,2014,3.0,6-5,180
148,Isaiah Bailey,,SF,6-5 / 180,89,2014,3.0,6-5,180
149,Edmond Sumner,,PG,6-4 / 149,89,2014,3.0,6-4,149
150,Shep Garner,,PG,6-2 / 180,89,2014,3.0,6-2,180
151,Therence Mayimba,,SF,6-5 / 200,89,2014,3.0,6-5,200
152,Djuan Piper,,SF,6-6 / 180,89,2014,3.0,6-6,180
153,Marcanvis Hymon,,SF,6-8 / 205,89,2014,3.0,6-8,205
154,Khadeen Carrington,,SG,6-2.5 / 177,89,2014,3.0,6-2.5,177
155,Marqywell Jackson,,SG,6-4 / 180,89,2014,3.0,6-4,180
156,Dorian Pickens,,SG,6-4 / 180,89,2014,3.0,6-4,180
157,Vincent Edwards,,SF,6-7 / 198,89,2014,3.0,6-7,198
158,Jeff Garrett,,PF,6-7 / 210,89,2014,3.0,6-7,210
159,LaDamean Keys,,PF,6-9 / 210,89,2014,3.0,6-9,210
160,CJ Turman,,PF,6-9 / 235,89,2014,3.0,6-9,235
161,Ronnie Harrell,,SF,6-6 / 170,89,2014,3.0,6-6,170
162,Casey Benson,,PG,6-3 / 170,89,2014,3.0,6-3,170
163,Idrissa Diallo,,PF,6-11 / 225,89,2014,3.0,6-11,225
164,Marcus Stroman,,PG,6-1 / 165,89,2014,3.0,6-1,165
165,Keith Pinckney,,PG,6-1 / 170,89,2014,3.0,6-1,170
166,Kevin Zabo,,PG,6-1 / 170,89,2014,3.0,6-1,170
167,Andre Walker,,PF,6-10 / 215,89,2014,3.0,6-10,215
168,Quadri Moore,,C,6-9 / 230,89,2014,3.0,6-9,230
169,Matthew Fisher-Davis,,SG,6-4 / 175,89,2014,3.0,6-4,175
170,Clayton Custer,,PG,6-0 / 180,89,2014,3.0,6-0,180
171,Jordan Cornish,,SG,6-6 / 215,89,2014,3.0,6-6,215
172,TeMarcus Blanton,,SF,6-4 / 180,89,2014,3.0,6-4,180
173,Ethan Happ,,SF,6-7 / 175,89,2014,3.0,6-7,175
174,Tariq Owens,,PF,6-10.5 / 190,89,2014,3.0,6-10.5,190
175,Jalen Hudson,,SG,6-5 / 185,89,2014,3.0,6-5,185
176,Phil Cofer,,PF,6-8 / 205,89,2014,3.0,6-8,205
177,Jonathan Williams,,PG,5-11 / 172,89,2014,3.0,5-11,172
178,Lance Tejada,,PG,6-1 / 180,89,2014,3.0,6-1,180
179,Silas Melson,,SG,6-3 / 170,89,2014,3.0,6-3,170
180,Mike Williams,,SG,6-2 / 180,89,2014,3.0,6-2,180
181,Tre Campbell,,PG,6-2 / 165,89,2014,3.0,6-2,165
182,Yante Maten,,PF,6-8 / 225,88,2014,3.0,6-8,225
183,Jackson Davis,,PF,6-8 / 220,88,2014,3.0,6-8,220
184,Bakary Konate,,C,6-11 / 230,88,2014,3.0,6-11,230
185,Javon Bess,,SF,6-5 / 185,88,2014,3.0,6-5,185
186,Emmitt Holt,,PF,6-7 / 230,88,2014,3.0,6-7,230
187,Melvin Swift,,PF,6-7 / 195,88,2014,3.0,6-7,195
188,Shane Hall,,PF,6-8 / 200,88,2014,3.0,6-8,200
189,JaQuel Richmond,,PG,6-0 / 170,88,2014,3.0,6-0,170
190,Jake Hammond,,PF,6-10 / 235,88,2014,3.0,6-10,235
191,Connor MacDougall,,C,6-8 / 220,88,2014,3.0,6-8,220
192,Kyle Kuzma,,PF,6-9 / 200,88,2014,3.0,6-9,200
193,Richard Lee,,SG,6-2 / 190,88,2014,3.0,6-2,190
194,Murshid Randle,,SG,6-3 / 195,88,2014,3.0,6-3,195
195,Keondre Dew,,PF,6-7 / 195,88,2014,3.0,6-7,195
196,Elijah Staley,,PF,6-6 / 240,88,2014,3.0,6-6,240
197,Kodi Justice,,SF,6-5 / 175,88,2014,3.0,6-5,175
198,Shavar Newkirk,,PG,5-11 / 175,88,2014,3.0,5-11,175
199,Matz Stockman,,PF,7-2 / 238,88,2014,3.0,7-2,238
200,Mavin Saunders,,SF,6-6 / 220,88,2014,3.0,6-6,220
201,Dmitri Thompson,,SG,6-4 / 195,88,2014,3.0,6-4,195
202,Satchel Pierce,,C,6-10 / 250,88,2014,3.0,6-10,250
203,Josh Martin,,PF,6-9 / 225,88,2014,3.0,6-9,225
204,Diontae Jones,,SF,6-5 / 180,88,2014,3.0,6-5,180
205,Isaiah Manderson,,C,6-11 / 230,88,2014,3.0,6-11,230
206,Sean O'Mara,,C,6-8 / 210,88,2014,3.0,6-8,210
207,Matt Cimino,,PF,6-10 / 215,88,2014,3.0,6-10,215
208,James Thompson,,PF,6-8 / 205,88,2014,3.0,6-8,205
209,Demetrius Houston,,SF,6-6 / 205,88,2014,3.0,6-6,205
210,Dakota Mathias,,SG,6-5 / 190,88,2014,3.0,6-5,190
211,Ricky Doyle,,PF,6-9 / 235,88,2014,3.0,6-9,235
212,D'Angelo Allen,,SF,6-6 / 185,88,2014,3.0,6-6,185
213,Darius  Austin,,SF,6-6 / 215,88,2014,3.0,6-6,215
214,Shaq Carr,,PG,6-1 / 175,88,2014,3.0,6-1,175
215,Tyquone Greer,,SG,6-5 / 180,88,2014,3.0,6-5,180
216,Zach McCormick,,CG,6-1 / 170,88,2014,3.0,6-1,170
217,Ben Lammers,,C,6-9 / 220,88,2014,3.0,6-9,220
218,Xavier Adams,,SG,6-5 / 195,88,2014,3.0,6-5,195
219,Patrick McCaw,,SG,6-5 / 190,88,2014,3.0,6-5,190
220,Jabari Craig,,C,6-10 / 215,88,2014,3.0,6-10,215
221,Jarvis Garrett,,PG,5-10 / 175,88,2014,3.0,5-10,175
222,Malik Marquetti,,SF,6-6 / 190,87,2014,3.0,6-6,190
223,Devin Watson,,PG,5-11 / 155,87,2014,3.0,5-11,155
224,Omar Sherman,,PF,6-7 / 230,87,2014,3.0,6-7,230
225,Marvin Clark,,PF,6-7 / 225,87,2014,3.0,6-7,225
226,Elliott Smith,,SF,6-5 / 160,87,2014,3.0,6-5,160
227,Mike Thomas,,C,6-9 / 210,87,2014,3.0,6-9,210
228,Justin Tillman,,PF,6-7 / 190,87,2014,3.0,6-7,190
229,Ray Kasongo,,PF,6-9 / 235,87,2014,3.0,6-9,235
230,Davell Roby,,PG,6-4 / 195,87,2014,3.0,6-4,195
231,Damiyne Durham,,SG,6-4 / 175,87,2014,3.0,6-4,175
232,Joe  Furstinger,,PF,6-8 / 195,87,2014,3.0,6-8,195
233,Joniah White,,C,6-10 / 195,87,2014,3.0,6-10,195
234,Jabari McGhee,,PF,6-8 / 225,87,2014,3.0,6-8,225
235,Tory Miller,,PF,6-8 / 260,87,2014,3.0,6-8,260
236,Dan Manzi,,C,6-9 / 230,87,2014,3.0,6-9,230
237,Jeremiah  Paige,,CG,6-3 / 160,87,2014,3.0,6-3,160
238,Harold Givens,,SF,6-7 / 190,87,2014,3.0,6-7,190
239,Elisha Boone,,PG,6-3 / 185,87,2014,3.0,6-3,185
240,Johnnie Vassar,,PG,6-0 / 160,87,2014,3.0,6-0,160
241,Peyton Allen,,SG,6-4 / 190,87,2014,3.0,6-4,190
242,Jonathan Joseph,,SF,6-5 / 185,87,2014,3.0,6-5,185
243,Jordan Green,,SG,6-5 / 185,87,2014,3.0,6-5,185
244,Donaven Dorsey,,SF,6-5 / 175,87,2014,3.0,6-5,175
245,D.J. Wilson,,SF,6-8 / 200,87,2014,3.0,6-8,200
246,Evan Bailey,,SG,6-5 / 175,87,2014,3.0,6-5,175
247,Michael Finke,,PF,6-9 / 210,87,2014,3.0,6-9,210
1,Ben Simmons,,SF,6-8 / 220,100,2015,5.0,6-8,220
2,Skal Labissiere,,C,6-10 / 200,100,2015,5.0,6-10,200
3,Brandon Ingram,,SF,6-9 / 195,100,2015,5.0,6-9,195
4,Cheick Diallo,,PF,6-9 / 218,100,2015,5.0,6-9,218
5,Jaylen Brown,,SF,6-7 / 217,100,2015,5.0,6-7,217
6,Allonzo Trier,,SG,6-4 / 185,100,2015,5.0,6-4,185
7,Malik Newman,,PG,6-3 / 174,100,2015,5.0,6-3,174
8,Diamond Stone,,C,6-10 / 246,100,2015,5.0,6-10,246
9,Dwayne Bacon,,SG,6-6 / 190,99,2015,5.0,6-6,190
10,Jamal Murray,,SG,6-5 / 180,99,2015,5.0,6-5,180
11,Ivan Rabb,,PF,6-10 / 210,99,2015,5.0,6-10,210
12,Ray Smith,,SF,6-7 / 185,99,2015,5.0,6-7,185
13,Thomas Bryant,,PF,6-10 / 225,99,2015,5.0,6-10,225
14,Antonio Blakeney,,SG,6-4 / 170,99,2015,5.0,6-4,170
15,Stephen Zimmerman,,C,6-11 / 214,99,2015,5.0,6-11,214
16,Isaiah Briscoe,,PG,6-3.5 / 200,99,2015,5.0,6-3.5,200
17,DJ Hogg,,PF,6-8 / 217,99,2015,5.0,6-8,217
18,Derryck Thornton,,PG,6-2 / 182,99,2015,5.0,6-2,182
19,Jawun Evans,,PG,6-0 / 165,99,2015,5.0,6-0,165
20,Chase Jeter,,PF,6-10 / 239,99,2015,5.0,6-10,239
21,Georgios Papagiannis,,C,7-1 / 235,99,2015,5.0,7-1,235
22-1,Luke Kennard,,SG,6-5 / 180,98,2015,5.0,6-5,180
23-1,PJ Dozier,,SG,6-6 / 180,98,2015,5.0,6-6,180
24-1,Henry Ellenson,,PF,6-10 / 230,98,2015,5.0,6-10,230
25-1,Tyler Dorsey,,PG,6-4 / 180,98,2015,5.0,6-4,180
26-1,Carlton Bragg,,PF,6-8 / 205,98,2015,5.0,6-8,205
27-1,Ray Spalding,,PF,6-9 / 200,98,2015,5.0,6-9,200
28-1,Mamadi Diakite,,PF,6-9 / 180,98,2015,5.0,6-9,180
29-1,Malik Beasley,,SG,6-4 / 185,98,2015,5.0,6-4,185
30-1,Lagerald Vick,,SG,6-5 / 180,98,2015,5.0,6-5,180
31-1,Jalen Brunson,,PG,6-1.5 / 190,98,2015,5.0,6-1.5,190
32-1,Jalen Adams,,PG,6-2 / 170,98,2015,5.0,6-2,170
33-1,Caleb Swanigan,,C,6-8 / 265,98,2015,5.0,6-8,265
34-1,Derrick Jones,,SF,6-6 / 180,97,2015,4.0,6-6,180
35-1,Deyonta Davis,,PF,6-8 / 205,97,2015,4.0,6-8,205
36-1,Jalen Coleman-Lands,,PG,6-3 / 160,97,2015,4.0,6-3,160
37-1,Donovan Mitchell,,SG,6-3 / 180,97,2015,4.0,6-3,180
38-1,Aaron Holiday,,PG,6-1 / 175,97,2015,4.0,6-1,175
39-1,Dedric Lawson,,PF,6-8 / 195,97,2015,4.0,6-8,195
40-1,Deng Adel,,SF,6-7 / 185,97,2015,4.0,6-7,185
41-1,Chimezie Metu,,PF,6-8 / 215,97,2015,4.0,6-8,215
42-1,Chance Comanche,,C,6-9 / 185,97,2015,4.0,6-9,185
43-1,Daniel Giddens,,C,6-10 / 235,97,2015,4.0,6-10,235
44-1,Jessie Govan,,C,6-10 / 250,97,2015,4.0,6-10,250
45-1,Tyler Davis,,C,6-9 / 269,97,2015,4.0,6-9,269
46-1,Chris Clarke,,SG,6-5 / 170,97,2015,4.0,6-5,170
47-1,Moritz Wagner,,PF,6-9 / 210,97,2015,4.0,6-9,210
48-1,Steven Enoch,,PF,6-9 / 235,97,2015,4.0,6-9,235
49-1,Kevarrius Hayes,,C,6-9 / 205,97,2015,4.0,6-9,205
50-1,Horace Spencer,,PF,6-8 / 215,97,2015,4.0,6-8,215
51-1,Malachi Richardson,,SF,6-5.5 / 191,97,2015,4.0,6-5.5,191
52-1,Justin Simon,,PG,6-4 / 190,97,2015,4.0,6-4,190
53-1,Kerwin Roach II,,SG,6-3 / 160,96,2015,4.0,6-3,160
54-1,Tevin Mack,,SF,6-6 / 185,96,2015,4.0,6-6,185
55-1,Jaquan Lyle,,SG,6-5 / 220,96,2015,4.0,6-5,220
56,K.J. Lawson,,SF,6-6 / 185,96,2015,4.0,6-6,185
57-2,Eric Davis,,SG,6-3 / 172,96,2015,4.0,6-3,172
58-1,Bennie Boatwright,,SF,6-9 / 215,96,2015,4.0,6-9,215
59-1,Matthew McQuaid,,SG,6-5 / 175,96,2015,4.0,6-5,175
60-1,Tai Wynyard,,PF,6-10 / 263,96,2015,4.0,6-10,263
61-1,Prince Ali,,SG,6-4 / 190,96,2015,4.0,6-4,190
62-1,Doral Moore,,C,7-0 / 220,96,2015,4.0,7-0,220
63-1,Isaac Humphries,,C,7-0 / 245,95,2015,4.0,7-0,245
64-1,KeVaughn Allen,,SG,6-3 / 190,95,2015,4.0,6-3,190
65-1,Maverick Rowan,,SF,6-7 / 200,95,2015,4.0,6-7,200
66-1,Danjel Purifoy,,SF,6-6 / 190,95,2015,4.0,6-6,190
67-1,Dejounte Murray,,SG,6-4 / 180,95,2015,4.0,6-4,180
68-1,Haanif Cheatham,,SG,6-5 / 185,95,2015,4.0,6-5,185
69-1,Austin Grandstaff,,SG,6-4 / 180,95,2015,4.0,6-4,180
70-1,King McClure,,SG,6-3 / 205,95,2015,4.0,6-3,205
71-1,Jimmy Whitt,,SG,6-4 / 170,95,2015,4.0,6-4,170
72-1,Justin Patton,,PF,6-10 / 215,95,2015,4.0,6-10,215
73-1,Moustapha Diagne,,PF,6-9 / 240,95,2015,4.0,6-9,240
74-1,Brevin Pritzl,,SG,6-3 / 175,94,2015,4.0,6-3,175
75-1,Charles Matthews,,SG,6-6 / 172,94,2015,4.0,6-6,172
76-1,Ebuka Izundu,,PF,6-10 / 210,94,2015,4.0,6-10,210
77-1,Marquese Chriss,,PF,6-6 / 190,94,2015,4.0,6-6,190
78-1,Juwan Morgan,,PF,6-8 / 255,94,2015,4.0,6-8,255
79-1,Shaun Kirk,,SF,6-7 / 185,94,2015,4.0,6-7,185
80-1,Elijah Thomas,,C,6-9 / 240,94,2015,4.0,6-9,240
81-1,Esa Ahmad,,PF,6-7 / 218,94,2015,4.0,6-7,218
82-1,Brandon Sampson,,SG,6-4 / 180,94,2015,4.0,6-4,180
83-1,Mickey Mitchell,,SF,6-7 / 210,94,2015,4.0,6-7,210
84-1,Stephen Thompson Jr.,,SG,6-3 / 165,94,2015,4.0,6-3,165
85-1,Nolan Narain,,PF,6-9 / 210,94,2015,4.0,6-9,210
86-1,Glynn Watson,,PG,6-0 / 160,94,2015,4.0,6-0,160
87-1,Tres Tinkle,,SF,6-6 / 180,94,2015,4.0,6-6,180
88-1,Kassoum Yakwe,,PF,6-8 / 205,94,2015,4.0,6-8,205
89-1,Kerry Blackshear Jr.,,PF,6-8 / 220,94,2015,4.0,6-8,220
90-1,Noah Dickerson,,PF,6-8 / 245,94,2015,4.0,6-8,245
91-1,Chris Silva,,PF,6-9 / 210,94,2015,4.0,6-9,210
92-1,Admon Gilder,,SG,6-2 / 180,94,2015,4.0,6-2,180
93-1,Shake Milton,,SG,6-4 / 185,93,2015,3.0,6-4,185
94-1,Kobie Eubanks,,SF,6-5 / 212,93,2015,3.0,6-5,212
95-1,Tulio Da Silva,,PF,6-8 / 200,93,2015,3.0,6-8,200
96-1,D.J. Williams,,SF,6-6 / 195,93,2015,3.0,6-6,195
97-1,Kendall Small,,PG,6-1 / 160,93,2015,3.0,6-1,160
98-1,Damon Wilson,,SG,6-4 / 170,93,2015,3.0,6-4,170
99-1,Tyler Lydon,,PF,6-9 / 200,93,2015,3.0,6-9,200
100-1,Malik Ellison,,SG,6-6 / 192,93,2015,3.0,6-6,192
101-1,Damontrae Jefferson,,PG,5-7 / 150,93,2015,3.0,5-7,150
102-1,Aaron Jordan,,SG,6-4 / 170,93,2015,3.0,6-4,170
103-1,Jeremy Hemsley,,SG,6-4 / 175,93,2015,3.0,6-4,175
104-1,Djery Baptiste,,C,6-11 / 245,93,2015,3.0,6-11,245
105-1,Nick Noskowiak,,PG,6-2 / 180,93,2015,3.0,6-2,180
106-1,Alex Owens,,PF,6-8 / 220,93,2015,3.0,6-8,220
107-1,Trevor Manuel,,PF,6-9 / 215,93,2015,3.0,6-9,215
108-1,Federico Mussini,,PG,6-0 / 160,93,2015,3.0,6-0,160
109-1,Kaiser Gates,,SF,6-7 / 190,93,2015,3.0,6-7,190
110-1,Donte DiVincenzo,,SG,6-4 / 175,92,2015,3.0,6-4,175
111-1,Frank Howard,,SG,6-4 / 185,92,2015,3.0,6-4,185
112-1,Bryant Crawford,,PG,6-3 / 170,92,2015,3.0,6-3,170
113-1,Cameron Walker,,SF,6-6 / 195,92,2015,3.0,6-6,195
114-1,Corey Sanders,,PG,6-1 / 170,92,2015,3.0,6-1,170
115-1,Marcus LoVett,,PG,6-0 / 170,92,2015,3.0,6-0,170
116-1,Ed Morrow,,PF,6-7 / 215,92,2015,3.0,6-7,215
117-1,Marcus Derrickson,,PF,6-7 / 245,92,2015,3.0,6-7,245
118-1,Anthony Lawrence,,SF,6-7 / 200,92,2015,3.0,6-7,200
119-1,Tahjai Teague,,SF,6-8 / 175,91,2015,3.0,6-8,175
120-1,New Williams,,SG,6-2 / 176,91,2015,3.0,6-2,176
121-1,John Collins,,PF,6-9 / 230,91,2015,3.0,6-9,230
122-1,Aric Holman,,PF,6-9 / 200,90,2015,3.0,6-9,200
123-1,Kenny Williams,,SG,6-3 / 165,90,2015,3.0,6-3,165
124-1,Alex Illikainen,,PF,6-9 / 210,90,2015,3.0,6-9,210
125-1,Jesse Wade,,PG,6-1 / 170,90,2015,3.0,6-1,170
126-1,Mike Watkins,,PF,6-8 / 225,90,2015,3.0,6-8,225
127-1,Matisse Thybulle,,SF,6-7 / 185,90,2015,3.0,6-7,185
128-1,Quinndary Weatherspoon,,SG,6-5 / 184,90,2015,3.0,6-5,184
129-1,Kevin Dorsey,,PG,6-0 / 170,90,2015,3.0,6-0,170
130-1,Aaron Falzon,,PF,6-8 / 208,90,2015,3.0,6-8,208
131-1,Rayjon Tucker,,SF,6-5 / 185,90,2015,3.0,6-5,185
132-1,Marcus Sheffield,,SF,6-5 / 170,90,2015,3.0,6-5,170
133-1,Luke Maye,,PF,6-7 / 225,90,2015,3.0,6-7,225
134-1,Brandon Hutton,,SF,6-5 / 195,90,2015,3.0,6-5,195
135-1,Randall Broddie,,PG,6-2 / 165,90,2015,3.0,6-2,165
136-1,Landry Shamet,,SG,6-4 / 180,89,2015,3.0,6-4,180
137-1,Donta Hall,,PF,6-9 / 210,89,2015,3.0,6-9,210
138-1,Rex Pflueger,,SG,6-5 / 185,89,2015,3.0,6-5,185
139-1,William Jackson,,PG,6-4 / 175,89,2015,3.0,6-4,175
140-1,Markis McDuffie,,SF,6-7 / 185,89,2015,3.0,6-7,185
141-1,Lamonte Turner,,PG,6-1 / 190,89,2015,3.0,6-1,190
142-1,Matt Heldt,,C,6-10 / 210,89,2015,3.0,6-10,210
143-1,Terance Mann,,SG,6-5 / 180,89,2015,3.0,6-5,180
144-1,Matt Ryan,,SF,6-7 / 210,89,2015,3.0,6-7,210
145-1,Jarvis Johnson,,PG,6-1 / 170,89,2015,3.0,6-1,170
146-1,Trey Lowe,,SG,6-6 / 175,89,2015,3.0,6-6,175
147-1,A.J. Harris,,PG,5-9 / 160,89,2015,3.0,5-9,160
148-1,Yankuba Sima,,C,6-11 / 215,89,2015,3.0,6-11,215
149-1,Keith Stone,,SF,6-7 / 240,89,2015,3.0,6-7,240
150-1,Nick Marshall,,C,6-10 / 230,89,2015,3.0,6-10,230
151-1,Andre Adams,,PF,6-8 / 200,89,2015,3.0,6-8,200
152-1,Justin Jenifer,,PG,5-9 / 160,89,2015,3.0,5-9,160
153-1,Sedrick Barefield,,PG,6-1 / 170,89,2015,3.0,6-1,170
154-1,Brock Miller,,SG,6-5 / 185,89,2015,3.0,6-5,185
155-1,K.J. Walton,,PG,6-3 / 175,89,2015,3.0,6-3,175
156-1,Traci Carter,,PG,6-0 / 165,89,2015,3.0,6-0,165
157-1,Samir Doughty,,PG,6-3 / 170,89,2015,3.0,6-3,170
158-1,Makol Mawien,,PF,6-9 / 215,89,2015,3.0,6-9,215
