BPI RK,TEAM,CONF,W-L,OFF,DEF,BPI,Year,,,,,
261,Fairleigh Dickinson Knights,NEC,15-Sep,0.3,-5.5,-5.2,2021,,,,,
262,Southern Miss Golden Eagles,CUSA,17-Aug,-5.8,0.6,-5.2,2021,,,,,
263,Long Beach State Beach,Big West,12-Jun,-2.9,-2.4,-5.3,2021,,,,,
264,Youngstown State Penguins,Horizon,15-12,-0.8,-4.4,-5.3,2021,,,,,
265,UT Rio Grande Valley Vaqueros,WAC,10-Sep,-5.7,0.3,-5.4,2021,,,,,
266,St. Francis Brooklyn Terriers,NEC,10-Sep,-0.3,-5.2,-5.4,2021,,,,,
267,Samford Bulldogs,Southern,13-Jun,-2.2,-3.3,-5.5,2021,,,,,
268,Oakland Golden Grizzlies,Horizon,18-Dec,0.2,-5.8,-5.6,2021,,,,,
269,New Orleans Privateers,Southland,15-Oct,-3,-2.6,-5.7,2021,,,,,
270,Longwood Lancers,Big South,17-Dec,-3.8,-1.9,-5.7,2021,,,,,
271,McNeese Cowboys,Southland,14-Oct,-0.7,-5,-5.8,2021,,,,,
272,Southern Jaguars,SWAC,11-Aug,-5.4,-0.4,-5.8,2021,,,,,
273,Manhattan Jaspers,MAAC,13-Jul,-6.9,1,-5.9,2021,,,,,
274,North Carolina A&T Aggies,MEAC,10-Nov,-5.1,-0.8,-5.9,2021,,,,,
275,St. Francis (PA) Red Flash,NEC,16-Jun,-3.7,-2.4,-6.1,2021,,,,,
276,Towson Tigers,CAA,14-Apr,-1.7,-4.6,-6.3,2021,,,,,
277,Eastern Illinois Panthers,OVC,18-Sep,-3.4,-3,-6.3,2021,,,,,
278,Troy Trojans,Sun Belt,17-Nov,-6.4,0.1,-6.4,2021,,,,,
279,Fairfield Stags,MAAC,17-Oct,-4.5,-2.1,-6.6,2021,,,,,
280,Cal State Northridge Matadors,Big West,13-Sep,-0.6,-6,-6.6,2021,,,,,
281,High Point Panthers,Big South,15-Sep,-3.7,-2.9,-6.7,2021,,,,,
282,Purdue Fort Wayne Mastodons,Horizon,15-Aug,-1.3,-5.5,-6.7,2021,,,,,
283,IUPUI Jaguars,Horizon,10-Aug,-4,-2.8,-6.8,2021,,,,,
284,Southeast Missouri State Redhawks,OVC,16-Nov,-4.5,-2.3,-6.8,2021,,,,,
285,Florida A&M Rattlers,MEAC,12-Aug,-7.1,0.2,-6.9,2021,,,,,
286,UC San Diego Tritons,Big West,10-Jul,-2.7,-4.2,-6.9,2021,,,,,
287,Rider Broncs,MAAC,17-Jun,-1.6,-5.3,-6.9,2021,,,,,
288,Green Bay Phoenix,Horizon,17-Aug,-1.1,-6,-7.1,2021,,,,,
289,Holy Cross Crusaders,Patriot,11-May,-2.8,-4.3,-7.1,2021,,,,,
290,Sacred Heart Pioneers,NEC,9-Sep,-1.7,-5.5,-7.2,2021,,,,,
291,Jacksonville Dolphins,ASUN,13-Nov,-5.5,-1.8,-7.2,2021,,,,,
292,Lamar Cardinals,Southland,18-Oct,-5.4,-1.9,-7.3,2021,,,,,
